Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678025822	75	1	333	2	1	79614	82524	0	2780360	1	64	12479303	0	0	0	6	2
1678025824	2065119	1832	168469	880	3	556494	891304	0	24764136	5	30	32136161	0	155613	4096	13	7
1678025826	7674015	6528	593016	2816	5	568275	902700	0	25037652	5	31	37678851	0	370997	4096	13	15
1678025828	14271837	11934	1081103	4963	7	585182	919328	0	25054292	5	30	43580733	0	617554	4096	14	23
1678025830	19450656	16095	1451516	6529	9	580124	914104	0	25048032	5	30	48417714	0	811271	4096	14	29
1678025832	25720326	20943	1876637	8199	11	579245	913000	0	25046628	5	29	54200752	0	1051348	4096	14	37
1678025834	30627285	24819	2219330	9585	13	580784	914396	0	25047636	5	31	59032779	0	1240833	4096	14	44
1678025836	36878026	29558	2629758	11064	15	591577	920608	0	25053780	5	30	64814646	0	1486106	4096	14	52
1678025838	42766331	34067	3017266	12554	17	589291	918180	0	25050964	5	31	70245933	0	1706248	4096	14	59
1678025840	47764621	37848	3338988	13691	19	590683	919432	0	25052664	5	30	75075987	0	1899833	4096	14	66
1678025842	52754984	41574	3655941	14834	21	586473	915088	0	25048016	5	31	79793704	0	2088736	4096	14	72
1678025844	59495117	46636	4069541	16378	23	590422	918856	0	25051600	5	30	86044798	0	2327613	4096	14	81
1678025846	65870319	51453	4482162	17928	25	590204	918472	0	25050804	5	31	92184131	0	2573195	4096	14	89
1678025848	72730022	56549	4905321	19409	27	591332	919420	0	25051572	5	31	98782218	0	2831901	4096	14	98
1678025850	78715008	61001	5284319	20710	29	593589	921548	0	25053876	5	31	104443177	0	3060006	4096	14	105
1678025852	85447113	66010	5695304	22184	31	590273	918072	0	25050036	5	30	110693111	0	3311992	4096	14	114
1678025854	91559937	70576	6086802	23558	33	590601	918280	0	25050036	5	31	116471926	0	3544445	4096	14	122
1678025856	98036907	75351	6484371	24935	35	599765	926624	0	25058484	5	31	122604069	0	3789003	4096	15	130
1678025858	104012357	79753	6844493	26172	37	598774	925524	0	25057380	5	31	128143758	0	4011565	4096	15	137
1678025860	110118339	84270	7235559	27471	39	595601	922192	0	25053712	5	31	134044827	0	4253541	4096	15	145
1678025862	116836183	89177	7636137	28807	41	599239	925704	0	25057296	5	31	140528354	0	4508757	4096	15	154
1678025864	123179392	93808	8008947	30044	43	598199	924544	0	25056016	5	30	146423327	0	4742559	4096	15	162
1678025866	128534796	97759	8339850	31194	45	602845	924196	0	25056016	5	30	151375276	0	4940777	4096	15	169
1678025868	134887911	102442	8724825	32531	47	599203	920420	0	25051920	5	31	157506089	0	5180726	4096	15	177
1678025870	141235087	107072	9099957	33742	49	602399	923504	0	25055128	5	31	163641219	0	5420990	4096	15	185
1678025872	148071801	112045	9505502	35108	51	605332	926340	0	25057688	5	31	169889371	0	5672528	4096	15	193
1678025874	154537946	116750	9893850	36344	53	601420	922312	0	25053592	5	31	176017769	0	5917452	4096	15	201
1678025876	160262006	120924	10233422	37498	55	608553	926672	0	25057944	5	31	181681030	0	6135926	4096	15	209
1678025878	166728399	125635	10625167	38808	57	601852	919900	0	25051288	5	30	187696158	0	6379188	4096	15	217
1678025880	173317746	130433	11023641	40105	59	605397	923332	0	25054360	5	30	193828090	0	6628297	4096	15	225
1678025882	179541112	134995	11405177	41347	61	603675	921516	0	25052568	5	31	199837037	0	6871966	4096	15	233
1678025884	185383914	139229	11755337	42472	63	607354	925112	0	25056408	5	31	205614245	0	7100384	4096	15	241
1678025886	191968018	143995	12134815	43661	65	605898	923596	0	25054616	5	31	211627307	0	7341934	4096	16	249
1678025888	198307761	148590	12520630	44894	67	613511	931092	0	25062040	5	31	217758114	0	7589289	4096	16	257
1678025890	204894835	153354	12906077	46145	69	606090	923596	0	25054360	5	30	223893277	0	7834551	4096	16	265
1678025892	211234716	157964	13285674	47405	71	607991	925420	0	25056408	5	31	230023288	0	8073699	4096	16	274
1678025894	217325047	162386	13641818	48542	73	607075	924444	0	25055640	5	30	235564608	0	8300805	4096	16	281
1678025896	223666355	166990	14030281	49763	75	609967	927256	0	25057944	5	30	241695197	0	8551625	4096	16	289
1678025898	229509268	171236	14376760	50898	77	606465	923700	0	25054104	5	31	247352290	0	8771621	4096	16	297
1678025900	236216975	176081	14772432	52136	79	610096	927260	0	25057944	5	31	253483313	0	9022869	4096	16	305
1678025902	242184141	180413	15134080	53315	81	606907	924008	0	25054360	5	31	259142839	0	9256106	4096	16	313
1678025904	248404228	184951	15524628	54576	83	610150	927188	0	25057688	5	30	265047200	0	9508819	4096	16	321
1678025906	254742048	189546	15897325	55779	85	613748	930732	0	25061272	5	31	271055181	0	9745302	4096	16	329
1678025908	261208551	194241	16286691	57027	87	608560	925492	0	25056152	5	31	277419261	0	9994576	4096	16	337
1678025910	267548957	198841	16671911	58251	89	611084	927952	0	25058712	5	31	283432975	0	10241315	4096	16	345
1678025912	272888449	202702	16985159	59225	91	610449	927276	0	25057944	5	31	288390423	0	10446673	4096	16	352
1678025914	279477608	207483	17378356	60466	93	610330	927092	0	25057688	5	30	294638025	0	10699863	4096	16	360
1678025916	285817204	212074	17755167	61664	95	608496	925196	0	25055640	5	30	300770028	0	10945728	4096	16	368
1678025918	292527691	216944	18144577	62952	97	610646	927280	0	25057688	5	31	306897955	0	11183122	4096	16	377
1678025920	298370193	221183	18490280	64082	99	613732	930312	0	25060760	5	28	312445061	0	11408335	4096	16	384
1678025922	303964034	225241	18828645	65187	101	609028	925556	0	25055896	5	31	317749367	0	11622728	4096	17	391
1678025924	310059039	229658	19197903	66357	103	613684	930172	0	25060504	5	31	323995094	0	11863213	4096	17	399
1678025926	316888337	234587	19582886	67564	105	611042	927484	0	25057944	5	31	330243548	0	12108306	4096	17	407
1678025928	323471981	239344	19965050	68754	107	611512	927920	0	25058456	5	30	336380146	0	12355837	4096	17	416
1678025930	329314364	243566	20313836	69866	109	614815	931180	0	25061528	5	31	342033563	0	12580020	4096	17	423
1678025932	335899349	248323	20705773	71097	111	609381	925672	0	25055896	5	29	348169847	0	12833973	4096	17	431
1678025934	342363326	253022	21085196	72340	113	616351	932596	0	25063576	5	30	354298218	0	13072789	4096	17	439
1678025936	348454825	257442	21460175	73503	115	613337	929548	0	25059736	5	30	360193506	0	13315379	4096	17	447
1678025938	354418222	261753	21809875	74613	117	606938	923120	0	25053336	5	30	365617191	0	13535902	4096	17	454
1678025940	359885874	265719	22136916	75648	119	609853	926004	0	25056152	5	30	370922730	0	13752263	4096	17	462
1678025942	366599847	270599	22534889	76913	121	613226	929320	0	25059736	5	31	377288356	0	14009596	4096	17	470
1678025944	372813426	275088	22905398	78064	123	618278	934340	0	25064856	5	30	383068335	0	14241928	4096	17	477
1678025946	378778686	279412	23255046	79163	125	615833	931864	0	25062040	5	30	388845435	0	14472135	4096	17	485
1678025948	384621860	283660	23610029	80267	127	613659	927704	0	25057944	5	31	394387880	0	14702890	4096	17	492
1678025950	391208068	288425	24000151	81455	129	612023	926028	0	25056408	5	31	400750585	0	14960383	4096	17	501
1678025952	397422561	292921	24363913	82612	131	611921	925892	0	25056152	5	31	406645699	0	15192651	4096	17	508
1678025954	403261291	297144	24695621	83694	133	615981	929920	0	25059992	5	30	412071756	0	15402278	4096	17	515
1678025956	409222112	301443	25035906	84795	135	615189	929108	0	25059224	5	31	417610183	0	15620697	4096	17	523
1678025958	415438861	305960	25414426	85982	137	615183	926940	0	25056920	5	29	423742344	0	15865701	4096	17	531
1678025960	422270732	310891	25815370	87258	139	615948	927668	0	25058200	5	30	429993839	0	16123010	4096	18	539
1678025962	428363199	315313	26185812	88429	141	615316	926996	0	25057432	5	31	435887446	0	16363738	4096	18	547
1678025964	434821111	319974	26570115	89664	143	619784	931444	0	25062040	5	31	442017896	0	16607425	4096	18	555
1678025966	440166412	323857	26888468	90662	145	618425	930068	0	25060248	5	31	446970552	0	16811533	4096	18	561
1678025968	446629188	328534	27282864	91857	147	620137	927800	0	25058200	5	30	453221886	0	17072569	4096	18	570
1678025970	453338434	333382	27682026	93102	149	618768	926408	0	25056664	5	31	459588849	0	17331251	4096	18	578
1678025972	459676756	337976	28064326	94294	151	619487	927096	0	25057688	5	29	465486005	0	17583177	4096	18	586
1678025974	466140442	342668	28454644	95529	153	619704	927304	0	25057688	5	31	471730304	0	17829881	4096	18	594
1678025976	472229205	347067	28809935	96653	155	621359	928928	0	25059224	5	31	477507176	0	18060596	4096	18	602
1678025978	478315308	351454	29168295	97777	157	624677	929552	0	25059992	5	30	483290067	0	18293254	4096	18	609
1678025980	484774592	356118	29535029	98925	159	624627	929476	0	25059736	5	29	489301451	0	18526823	4096	18	617
1678025982	490994787	360640	29915634	100104	161	622771	927612	0	25057688	5	30	495428947	0	18778668	4096	18	625
1678025984	496953989	364932	30267145	101169	163	625495	930296	0	25060504	5	30	500971960	0	19005624	4096	18	633
1678025986	503539092	369699	30656909	102403	165	622337	927124	0	25057176	5	31	507221506	0	19259849	4096	18	641
1678025988	510128100	374471	31052102	103637	167	624978	929744	0	25059992	5	31	513470746	0	19514451	4096	18	649
1678025990	516588408	379142	31442700	104866	169	625102	929848	0	25059992	5	31	519720169	0	19770935	4096	18	657
1678025992	523296560	383992	31844112	106144	171	627801	932524	0	25062808	5	30	525849989	0	20029261	4096	18	666
1678025994	529263385	388313	32195954	107234	173	626049	930752	0	25060760	5	31	531624155	0	20256798	4096	18	673
1678025996	536094200	393243	32598526	108472	175	625079	929756	0	25059992	5	31	537991201	0	20514493	4096	19	681
1678025998	542557097	397918	32977433	109677	177	628588	933248	0	25063576	5	30	544240541	0	20765498	4096	19	689
