Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678038829	207	3	408	3	1	77552	80524	0	2779964	1	64	12479303	0	0	0	6	2
1678038831	154602	878	102404	1022	3	928402	9620056	0	314551308	65	445	54945512	0	314252	4096	14	22
1678038833	40155655	33317	2476066	13713	5	4740712	10176400	0	329025808	65	410	83310767	0	1054849	4096	17	65
1678038835	73423942	59356	4406338	23260	7	4824114	10258424	0	329094996	65	401	117755423	0	2040452	4096	18	109
1678038837	102558690	82194	6173421	31829	9	5138391	10571844	0	329414308	65	403	142546680	0	2788842	4096	18	138
1678038839	129031705	102843	7736995	39285	11	4991704	10424396	0	329267824	65	405	167197573	0	3521876	4096	18	166
1678038841	151737965	120507	9118895	45768	13	5023427	10455556	0	329293424	65	405	187133276	0	4136573	4096	19	192
1678038843	181447929	143499	10853151	54106	15	5166217	10597544	0	329438832	65	410	216864287	0	5005008	4096	19	226
1678038845	211010270	166278	12553373	62124	17	5042135	10473068	0	329312368	65	399	244241421	0	5811643	4096	20	258
1678038847	245471017	192863	14526783	71532	19	5017196	10447720	0	329275760	65	402	277759444	0	6777462	4096	20	300
1678038849	279514744	218903	16437954	80562	21	5044294	10474436	0	329297924	65	402	307834450	0	7644575	4096	21	339
1678038851	314065040	245279	18359442	89573	23	5141685	10571412	0	329393232	65	406	344886520	0	8690128	4096	22	385
1678038853	344085322	268199	20078331	97514	25	5156085	10585572	0	329409272	65	392	365515064	0	9333784	4096	22	408
1678038855	359729641	280175	21041520	101626	27	5052232	10481628	0	329302652	65	394	383917715	0	9927370	4096	22	432
1678038857	375259506	292133	22032680	105794	29	5112402	10541708	0	329366908	65	393	394534320	0	10347647	4096	22	444
1678038859	386887374	301010	22776862	108751	31	5274901	10704136	0	329530216	65	419	412718828	0	10938633	4096	23	464
1678038861	419506846	325635	24561221	116815	33	5106169	10535180	0	329357412	65	412	444571377	0	11847164	4096	23	502
1678038863	464005960	359308	26910981	127882	35	5137021	10565828	0	329385828	65	393	480174394	0	12850862	4096	24	553
1678038865	491302345	379970	28480217	134745	37	5141241	10569920	0	329384036	65	404	509091570	0	13722859	4096	24	587
1678038867	518133522	400279	29989268	141470	39	5135736	10564320	0	329380708	65	412	533618389	0	14460591	4096	24	616
1678038869	552486189	426114	31853472	149879	41	5156049	10584504	0	329399908	65	414	569233444	0	15459937	4096	25	658
1678038871	582440074	448560	33478448	157049	43	5133264	10561652	0	329376612	65	399	594134584	0	16234493	4096	25	688
1678038873	613423796	471840	35206457	164568	45	5151068	10579388	0	329390180	65	393	624677237	0	17152823	4096	26	725
1678038875	639518899	491477	36658905	170937	47	5171743	10599984	0	329409636	65	404	647817163	0	17876359	4096	26	753
1678038877	668578020	513237	38274231	177919	49	5135923	10564148	0	329374308	65	401	678134363	0	18781985	4096	26	789
1678038879	697581471	534974	39871798	184879	51	5213219	10641396	0	329452352	65	403	702899680	0	19547671	4096	27	816
1678038881	724300416	555007	41367325	191321	53	5136219	10563560	0	329373604	65	422	731311612	0	20371182	4096	27	847
1678038883	748104969	572759	42665392	196807	55	5132767	10560084	0	329370020	65	396	747107386	0	20933227	4096	27	870
1678038885	759357433	581268	43426229	199604	57	5145634	10572928	0	329383076	65	397	757607305	0	21373678	4096	28	882
1678038887	770713481	589815	44167413	202348	59	5177278	10604572	0	329415588	65	396	768796289	0	21808605	4096	28	895
1678038889	786674114	601695	45125909	206037	61	5167642	10594912	0	329402900	65	402	787669177	0	22459828	4096	28	918
1678038891	814657709	622739	46689915	212784	63	5146526	10572248	0	329380568	65	407	814106186	0	23268950	4096	28	949
