Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678035380	0	0	0	0	1	63047	65948	0	2729916	1	64	7554462	0	0	0	6	1
1678035382	1061615	1041	98761	586	3	410648	1476840	0	44718860	9	58	31899619	0	111608	4096	13	6
1678035384	12538945	10694	939802	4750	5	885730	1586772	0	45336864	9	59	43244341	0	498983	4096	14	19
1678035386	26142721	21504	1820706	8717	7	869852	1570268	0	45319784	9	58	55516596	0	936119	4096	14	35
1678035388	38680888	31082	2319766	11841	9	906233	1606352	0	45355368	9	59	67195744	0	1355266	4096	14	49
1678035390	51974034	41234	2840667	15094	11	880432	1580124	0	45327716	9	59	80054876	0	1803924	4096	14	64
1678035392	65494341	51582	3658884	18561	13	888093	1587408	0	45334372	9	59	92679162	0	2247946	4096	14	80
1678035394	77628481	60814	4393224	21570	15	900744	1599760	0	45346660	9	58	104123531	0	2648676	4096	15	93
1678035396	90987839	70869	5195997	24769	17	893371	1592104	0	45338776	9	58	116739159	0	3091377	4096	15	109
1678035398	103463516	80186	5940078	27666	19	898211	1596672	0	45342872	9	59	128528947	0	3507966	4096	15	123
1678035400	116682837	90018	6709652	30574	21	898360	1596540	0	45342104	9	59	141387920	0	3961705	4096	15	138
1678035402	130646820	100378	7495509	33600	23	906020	1603920	0	45349808	9	57	154364333	0	4407058	4096	15	154
1678035404	143111528	109614	8198714	36337	25	890388	1588076	0	45332912	9	59	165922070	0	4799693	4096	15	168
1678035406	156687990	119593	8966787	39195	27	902284	1599752	0	45344432	9	57	178773049	0	5248145	4096	15	184
1678035408	166398659	126726	9515147	41246	29	922529	1619852	0	45364656	9	58	188206592	0	5567784	4096	16	195
1678035410	179225489	136166	10237883	43935	31	904447	1601564	0	45345968	9	59	200120286	0	5988405	4096	16	209
1678035412	190315681	144330	10894828	46335	33	897135	1594108	0	45337776	9	56	210851468	0	6379721	4096	16	223
1678035414	202510069	153245	11572506	48794	35	906872	1603676	0	45347692	9	59	222521071	0	6776498	4096	16	236
1678035416	216191605	163225	12338040	51556	37	905558	1602208	0	45345644	9	58	235376148	0	7235731	4096	16	252
1678035418	228643094	172375	13052194	54217	39	908002	1604508	0	45348460	9	59	246950474	0	7656685	4096	16	266
1678035420	242093593	182248	13820694	57013	41	907214	1603588	0	45347368	9	59	259897964	0	8107220	4096	16	282
1678035422	256275617	192611	14614982	59877	43	910996	1607236	0	45350952	9	59	272994246	0	8581582	4096	16	297
1678035424	268588165	201571	15300604	62311	45	908101	1604240	0	45347880	9	58	284899623	0	8987669	4096	17	312
1678035426	282644853	211820	16085048	65123	47	904193	1600196	0	45343716	9	58	298223661	0	9453550	4096	17	327
1678035428	294954612	220746	16745956	67481	49	913569	1609456	0	45352420	9	59	309903174	0	9859545	4096	17	341
1678035430	308769012	230838	17518398	70285	51	916251	1612016	0	45354980	9	58	322875708	0	10311502	4096	17	357
1678035432	321089343	239823	18199422	72714	53	906442	1602132	0	45344996	9	59	334783448	0	10717470	4096	17	371
1678035434	335005844	249879	18958471	75364	55	911813	1607376	0	45350116	9	59	347983389	0	11183046	4096	17	387
1678035436	348428617	259592	19703765	77985	57	911992	1607476	0	45350884	9	58	360484189	0	11629803	4096	17	402
1678035438	359627635	267757	20340152	80250	59	908430	1603852	0	45347044	9	58	371332619	0	12017648	4096	18	415
