Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678037659	0	0	0	0	1	71621	74384	0	2772008	1	64	10995491	0	0	0	6	2
1678037661	2563430	2503	242976	1424	3	543748	2673832	0	84731552	17	110	35978143	0	188886	4096	13	9
1678037663	27555087	22698	1809949	9315	5	1473521	2820304	0	85905680	17	112	58627362	0	863395	4096	14	36
1678037665	52023958	41709	3185426	16002	7	1450431	2796292	0	85877236	17	111	82458549	0	1549335	4096	15	62
1678037667	75729715	60104	4664863	22613	9	1509484	2854692	0	85933720	17	114	104400551	0	2253327	4096	15	88
1678037669	102870618	80732	6131967	29347	11	1487385	2831964	0	85909212	17	114	130553577	0	2971556	4096	15	117
1678037671	127511573	99505	7569630	35513	13	1508885	2852928	0	85929384	17	115	153467595	0	3734449	4096	16	144
1678037673	152244167	118124	8940259	41437	15	1507653	2846340	0	85921448	17	110	176825943	0	4451185	4096	16	171
1678037675	177727970	137270	10343318	47467	17	1523465	2861752	0	85936176	17	113	201239292	0	5182047	4096	16	198
1678037677	205535733	157911	11801795	53639	19	1522344	2860244	0	85934880	17	114	227548311	0	5965686	4096	17	228
1678037679	230229500	176287	13158355	59191	21	1515272	2852860	0	85926448	17	114	250657781	0	6692337	4096	17	255
1678037681	255418639	194925	14400584	64672	23	1500651	2837968	0	85910576	17	115	274551562	0	7296512	4096	17	282
1678037683	273494194	208329	15360805	68573	25	1506804	2843944	0	85916240	17	112	291529121	0	7835360	4096	17	302
1678037685	300522629	228241	16918390	74415	27	1504028	2840912	0	85912656	17	115	317167832	0	8754024	4096	18	331
1678037687	325559799	246619	18228696	79734	29	1518532	2855252	0	85926480	17	114	341127915	0	9486284	4096	18	358
1678037689	349722531	264395	19515448	84874	31	1514697	2851232	0	85921840	17	114	364104582	0	10174914	4096	18	384
1678037691	374861610	282752	20791231	89946	33	1511624	2847988	0	85918000	17	113	387580262	0	10905734	4096	19	412
1678037693	402885358	303298	22270597	95734	35	1539747	2873448	0	85944368	17	115	414692141	0	11727301	4096	19	442
1678037695	428769974	322233	23600909	101063	37	1523053	2856716	0	85927044	17	114	438749438	0	12466735	4096	19	469
1678037697	453788976	340456	24821954	106080	39	1527391	2861024	0	85930916	17	114	462997194	0	13106615	4096	19	497
1678037699	473183138	354518	25873896	109900	41	1537078	2870696	0	85939620	17	112	480738172	0	13776768	4096	20	518
1678037701	498296374	372780	27179252	114963	43	1527476	2861040	0	85929548	17	115	504644050	0	14468560	4096	20	545
1678037703	521932627	389889	28425654	119505	45	1537329	2865312	0	85934740	17	112	526841884	0	15245046	4096	20	571
