Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678047491	75	1	1042	8	1	71682	74456	0	2772004	1	64	10995491	28672	0	0	6	2
1678047493	518791	479	47475	268	3	358135	573992	0	14757444	3	16	30418003	9011200	112041	4096	13	5
1678047495	3599135	3143	301455	1461	5	426819	591540	0	14903428	3	17	33247250	9011200	227553	4096	13	9
1678047497	5891213	5060	483099	2253	7	429997	594588	0	14906244	3	16	35373623	9011200	320916	4096	13	13
1678047499	7417646	6329	601662	2771	9	426235	590780	0	14901892	3	16	36789290	9011200	380008	4096	13	15
1678047501	9064433	7678	720538	3291	11	425119	589624	0	14900612	3	16	38321665	9011200	439797	4096	14	17
1678047503	11472102	9637	873827	4056	13	428804	593224	0	14904156	3	15	40566815	9011200	535072	4096	14	20
1678047505	14237407	11749	980005	4724	15	434215	598540	0	14909532	3	17	43277724	9011200	644862	4096	14	24
1678047507	15992869	13090	1043543	5120	17	429411	593676	0	14904412	3	16	44810462	9011200	710885	4096	14	26
1678047509	17511990	14318	1109711	5562	19	428806	593028	0	14903604	3	16	46225988	9011200	770318	4096	14	29
1678047511	19014100	15433	1162627	5869	21	432049	596224	0	14906932	3	16	47644789	9011200	834718	4096	14	31
1678047513	20512309	16541	1210025	6148	23	429215	593344	0	14903860	3	16	49056709	9011200	889407	4096	14	33
1678047515	22518229	18061	1280950	6594	25	432890	596964	0	14907444	3	16	50943951	9011200	965130	4096	14	35
1678047517	25517180	20290	1383364	7216	27	432421	596416	0	14907152	3	17	53771850	9011200	1082568	4096	14	40
1678047519	27891986	22050	1468728	7720	29	429993	593904	0	14904336	3	16	56132881	9011200	1186434	4096	14	43
1678047521	30877863	24209	1557163	8237	31	434525	598356	0	14908944	3	16	58845691	9011200	1297041	4096	14	47
1678047523	33750519	26332	1652653	8804	33	431949	595128	0	14905584	3	16	61558092	9011200	1408444	4096	14	51
1678047525	36621736	28445	1749757	9376	35	432966	596068	0	14906352	3	16	64270350	9011200	1526479	4096	14	55
1678047527	39864835	30817	1853814	9988	37	436725	599740	0	14909936	3	17	67451363	9011200	1655128	4096	14	59
1678047529	42112899	32482	1927858	10423	39	433510	596472	0	14907044	3	15	69461597	9011200	1745516	4096	14	63
