ncores,wallclock_time_s,read_rate_MB_s,read_rate_MiB_s,total_read_data_GB,total_read_data_GiB
02,4478,42.04055291759715,40.092995565030236,188.257595965,175.32854896504432
04,2461,76.49661914790737,72.95286097326981,188.258179723,175.32909263204783
08,1181,159.40402502709568,152.01952460012023,188.256153557,175.3272056179121
16,643,292.85566608553654,279.28892715982107,188.306193293,175.3738087536767
32,358,526.2604590307262,501.8810835177672,188.401244333,175.4623319329694
64,257,736.1007643929961,702.0003932886086,189.177896449,176.18564558122307
