ncores,wallclock_time_s,read_rate_MB_s,read_rate_MiB_s,total_read_data_GB,total_read_data_GiB
02,3949,49.318506107875415,47.03379259860555,194.75878062,181.38324899598956
04,2335,83.46944028522483,79.6026614048241,194.901143066,181.51583435572684
08,1209,161.5048214598842,154.02300020206852,195.259329145,181.84942113701254
16,539,363.5403153896104,346.69906176529923,195.948229995,182.49101005028933
32,317,622.1493936340695,593.3278976765341,197.221357782,183.67670269869268
64,195,1030.6294686205129,982.8848539548043,200.972746381,187.1704555870965
