Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677760155	1	364478	367436	0	515328	31417267	0	35124	0	150	2	474	4	0	0	1	1
1677760157	3	346222	578704	0	19830736	68417415	0	96173	4096	9506	123	10830	127	14	4	1	146
1677760159	5	401229	670904	0	21216580	75153962	0	98755	4096	7821162	2136	7839058	2160	14	5	1	164
1677760161	7	399554	670964	0	21216580	75304368	0	109447	4096	57541689	40141	10808769	15229	14	6	1	164
1677760163	9	399574	670984	0	21216580	75458037	0	121459	4096	115221753	83991	12810502	29112	14	6	1	164
1677760165	11	396666	670988	0	21216580	75611743	0	133339	4096	145119320	106477	13792790	35821	14	6	1	164
1677760167	13	396476	670996	0	21216580	75765432	0	145219	4096	145469637	107274	13881467	36499	14	6	1	164
1677760169	15	396484	671004	0	21216580	75921984	0	157099	4096	145544464	107909	13976110	37156	14	6	1	164
1677760171	17	396479	671012	0	21216580	76075364	0	168979	4096	145620776	108574	14072400	37846	14	6	1	164
1677760173	19	396487	671032	0	21216580	76228790	0	181321	4096	590039666	403168	15537469	53569	14	6	1	164
1677760175	21	396495	671040	0	21216580	76382310	0	193201	4096	1180179856	794160	17524790	74974	14	6	1	164
1677760177	23	396503	671048	0	21216580	76532651	0	203893	4096	1733880063	1161052	19252652	93481	14	7	1	164
1677760179	25	396515	671060	0	21216580	76686171	0	215905	4096	2250041183	1503127	21054872	112657	14	7	1	164
1677760181	27	396519	671064	0	21216580	76839715	0	227785	4096	2797750905	1866100	22726848	130531	14	7	1	164
1677760183	29	396535	671080	0	21216580	76993364	0	239665	4096	3345111073	2228782	24344861	147725	14	7	1	164
1677760185	31	396547	671092	0	21216580	77150210	0	251545	4096	3825567038	2547224	25775804	162857	14	7	1	164
1677760187	33	396563	671108	0	21216580	77303863	0	263425	4096	4311974875	2869602	27053716	176309	14	7	1	164
1677760189	35	396575	671120	0	21216580	77457503	0	275305	4096	4759043947	3165965	28621950	192905	14	7	1	164
1677760191	37	396591	671136	0	21216580	77611153	0	287647	4096	5274647637	3507674	30360537	211579	14	7	1	164
1677760193	39	396603	671148	0	21216580	77761627	0	298339	4096	5672165344	3771241	31764634	226397	14	8	1	164
1677760195	41	396619	671164	0	21216580	77915287	0	310219	4096	6167854948	4099729	33371455	243499	14	8	1	164
1677760197	43	396631	671176	0	21216580	78068947	0	322231	4096	6672901892	4434500	34762912	258085	14	8	1	164
1677760199	45	396647	671192	0	21216580	78225757	0	334111	4096	7217367702	4795304	36377268	275293	14	8	1	164
1677760201	47	396655	671200	0	21216580	78379377	0	345991	4096	7722219356	5129865	38151592	294330	14	8	1	164
1677760203	49	396671	671216	0	21216580	78532997	0	357871	4096	8153193819	5415568	39980940	313796	14	8	1	164
1677760205	51	396687	671232	0	21216580	78686619	0	369751	4096	8664153861	5754244	41279737	327298	14	8	1	164
1677760207	53	397951	672496	0	21218628	79321856	0	380443	4096	9051631243	6011046	42616534	341614	14	8	1	164
1677760209	55	397983	672528	0	21218628	79475746	0	392604	4096	9399864816	6243176	44225550	354332	14	8	1	164
1677760211	57	397999	672544	0	21218628	79629814	0	404702	4096	9596099012	6375645	45733437	365499	15	9	1	164
1677760213	59	398003	672548	0	21218628	79784014	0	416734	4096	9646898462	6412805	47229122	374865	15	9	1	164
1677760215	61	398023	672568	0	21218628	79941427	0	428634	4096	9685319641	6440943	48338229	381799	15	9	1	164
1677760217	63	398035	672580	0	21218628	80095627	0	440534	4096	9723152552	6468632	49442849	388699	15	9	1	164
1677760219	65	398047	672592	0	21218628	80249827	0	452548	4096	9760166786	6495719	50520601	395435	15	9	1	164
1677760221	67	398055	672600	0	21218628	80404026	0	465528	4096	9794652790	6520843	51502766	401460	15	9	1	164
1677760223	69	398067	672612	0	21218628	80555006	0	477210	4096	9827699228	6544925	52441679	407190	15	9	1	164
1677760225	71	398079	672624	0	21218628	80709203	0	490190	4096	9861825426	6569836	53425096	413239	15	9	1	164
1677760227	73	398095	672640	0	21218628	80863403	0	503459	4096	9901519896	6598668	54548234	420079	15	9	1	164
1677760229	75	398107	672652	0	21218628	81017618	0	516655	4096	9939170156	6626054	55598268	426484	15	10	1	164
1677760231	77	398115	672660	0	21218628	81175046	0	529635	4096	9972887698	6650616	56554277	432307	15	10	1	164
1677760233	79	398127	672672	0	21218628	81329262	0	542759	4096	10005209065	6674159	57472030	437926	15	10	1	164
1677760235	81	398143	672688	0	21218628	81483478	0	555739	4096	10042695975	6701389	58533930	444409	15	10	1	164
1677760237	83	398155	672700	0	21218628	81637682	0	568719	4096	10074687384	6724700	59446540	449990	15	10	1	164
1677760239	85	398167	672712	0	21218628	81788695	0	580401	4096	10150035804	6776529	60409841	456518	15	10	1	164
1677760241	87	398359	672904	0	21218628	81942931	0	593381	4096	10263476020	6853782	61574906	464674	15	10	1	164
1677760243	89	398363	672912	0	21218628	82097167	0	606361	4096	10365923752	6923901	62784146	472994	15	10	1	164
1677760245	91	398379	672936	0	21218628	82251397	0	619774	4096	10467817835	6993226	63782192	480059	15	10	1	164
1677760247	93	398382	672940	0	21218628	82408784	0	632826	4096	10590555175	7075878	64705035	487411	15	11	1	164
1677760249	95	398392	672956	0	21218628	82562872	0	645950	4096	10804259465	7218451	65764250	497200	15	11	1	164
1677760251	97	398444	673008	0	21218628	82716879	0	658930	4096	11058866036	7387878	66871380	507737	15	11	1	164
1677760253	99	398452	673016	0	21218628	82870803	0	671910	4096	11400654259	7614912	68013994	518715	15	11	1	164
1677760255	101	398464	673028	0	21218628	83021541	0	683592	4096	11671491916	7794989	69013135	528196	15	11	1	164
1677760257	103	398488	673052	0	21218628	83175477	0	696572	4096	12013943881	8022434	70239316	540216	15	11	1	164
1677760259	105	398492	673056	0	21218628	83329413	0	709552	4096	12350731487	8246250	71401712	551298	15	11	1	164
1677760261	107	398540	673104	0	21218628	83483349	0	722821	4096	12691611815	8472673	72476014	561501	15	11	1	164
1677760263	109	398560	673124	0	21218628	83640483	0	735801	4096	13059293484	8716793	73615460	572457	15	12	1	164
1677760265	111	398572	673136	0	21218628	83794419	0	748781	4096	13410987137	8950382	74717350	582863	15	12	1	164
1677760267	113	398592	673156	0	21218628	83948352	0	761977	4096	13734791924	9165622	75765313	592591	15	12	1	164
1677760269	115	398608	673172	0	21218628	84102294	0	774957	4096	14080925785	9396099	77052845	603805	15	12	1	164
1677760271	117	398764	673328	0	21218628	84253083	0	786783	4096	14334027394	9565064	78082647	612275	15	12	1	164
1677760273	119	398768	673332	0	21218628	84407076	0	799763	4096	14625657892	9759813	79532377	624305	16	12	1	164
1677760275	121	398776	673340	0	21218628	84561072	0	812743	4096	14923316507	9958274	80747207	634525	16	12	1	164
1677760277	123	398784	673348	0	21218628	84715068	0	825723	4096	15214498080	10152574	82160152	646504	16	12	1	164
1677760279	125	398790	673356	0	21218628	84872262	0	838703	4096	15509588315	10349154	83248115	655834	16	13	1	164
1677760281	127	398798	673364	0	21218628	85026192	0	851900	4096	15825081125	10559266	84799434	670305	16	13	1	164
1677760283	129	398802	673368	0	21218628	85180108	0	864952	4096	16180370898	10795634	86065500	681621	16	13	1	164
1677760285	131	398814	673380	0	21218628	85334024	0	877932	4096	16491633079	11002836	87353947	693321	16	13	1	164
1677760287	133	398826	673392	0	21218628	85484737	0	889614	4096	16785302556	11198275	88599239	704741	16	13	1	164
1677760289	135	398834	673400	0	21218628	85638633	0	902810	4096	17127125831	11425673	89992835	717777	16	13	1	164
1677760291	137	398938	673504	0	21218628	85792529	0	915934	4096	17435863433	11631385	91351516	729798	16	13	1	164
1677760293	139	398954	673520	0	21218628	85946411	0	928914	4096	17786231274	11864506	92756068	742428	16	13	1	164
1677760295	141	398962	673528	0	21218628	86103482	0	941894	4096	18125212921	12089993	94034247	753994	16	14	1	164
1677760297	143	398966	673536	0	21218628	86257363	0	954874	4096	18441567872	12300051	94975955	763095	16	14	1	164
1677760299	145	398974	673544	0	21218628	86411217	0	967854	4096	18744513032	12501195	96549872	779407	16	14	1	164
1677760301	147	398982	673552	0	21218628	86565053	0	980834	4096	19072430025	12719055	97602558	789409	16	14	1	164
1677760303	149	399374	673944	0	21218628	86859428	0	992516	4096	19411624202	12944226	98782125	800979	16	14	1	164
1677760305	151	399380	673952	0	21218628	87013264	0	1005785	4096	19804741145	13205019	99791295	810813	16	14	1	164
1677760307	153	399392	673964	0	21218628	87167082	0	1018765	4096	20189239339	13459899	100855569	821794	16	14	1	164
1677760309	155	399396	673968	0	21218628	87320878	0	1031745	4096	20619530835	13745117	101911558	832673	16	14	1	164
1677760311	157	399408	673980	0	21218628	87474674	0	1045085	4096	21000963332	13998038	103250572	846805	16	15	1	164
1677760313	159	399416	673988	0	21218628	87631661	0	1058065	4096	21369241482	14242183	104782127	863060	16	15	1	164
1677760315	161	399428	674000	0	21218628	87785466	0	1071045	4096	21743601259	14490336	105919544	875036	16	15	1	164
1677760317	163	399436	674008	0	21218628	87939282	0	1084025	4096	22166547203	14770662	106899245	885056	16	15	1	164
1677760319	165	399452	674024	0	21218628	88093102	0	1097005	4096	22586645646	15049083	108159948	898288	16	15	1	164
1677760321	167	399456	674028	0	21218628	88243764	0	1108687	4096	22959511069	15296220	109228885	909381	16	15	1	164
1677760323	169	399532	674104	0	21219652	88397620	0	1121667	4096	23354962028	15558347	110256065	919878	16	15	1	164
1677760325	171	399544	674116	0	21219652	88551476	0	1134647	4096	23737384085	15811839	111343843	931045	16	15	1	164
1677760327	173	399564	674136	0	21219652	88705332	0	1147772	4096	24147527980	16083683	112424198	942129	16	15	1	164
1677760329	175	399576	674148	0	21219652	88862368	0	1160896	4096	24578508546	16369309	113621318	954716	16	16	1	164
1677760331	177	399580	674152	0	21219652	89016204	0	1173876	4096	25001085930	16649421	114716891	966089	16	16	1	164
1677760333	179	400396	674968	0	21219652	89170040	0	1187000	4096	25424008510	16929720	115919221	978705	16	16	1	164
