Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677752725	2	407835	410984	0	613712	36302054	0	35972	0	75	1	860	5	0	0	1	1
1677752727	4	527038	530968	0	1193724	37269529	0	36286	0	44637	66	12682	73	0	2	1	6
1677752729	6	607194	611124	0	1269456	39434153	0	36332	0	44853	69	13751	79	0	4	1	6
1677752731	8	607194	611124	0	1269456	39434153	0	36332	0	45379	75	15186	89	0	6	1	6
1677752733	10	645162	649092	0	1306064	39434153	0	36378	0	45595	78	16050	94	0	8	1	6
1677752735	12	647910	651840	0	1455260	39623540	0	36836	0	251693	283	35880	220	0	10	1	6
1677752737	14	670254	674184	0	1535828	39699434	0	37064	0	335072	375	45851	287	0	12	1	6
1677752739	16	693966	697896	0	3748740	39895813	0	37244	0	551004	629	72037	478	0	14	1	37
1677752741	18	2264286	2268216	0	5191480	1269574961	0	37260	0	1304369778	862794	2168982	23574	1	38	1	37
1677752743	20	2371322	2375252	0	5484724	2933528453	0	37276	0	3068588137	2028687	4678747	52076	2	76	1	37
1677752745	22	2402630	2406560	0	5100168	4587606285	0	37276	0	4822365488	3188060	7266490	80903	3	115	1	37
1677752747	24	2486938	2490868	0	5296776	6362770847	0	37276	0	6704859491	4432145	9643524	107747	4	156	1	37
1677752749	26	2407210	2411140	0	4644888	7607212190	0	37276	0	8024199243	5304456	11548935	128607	4	186	1	37
1677752751	28	2488518	2492448	0	5289976	9190526851	0	37276	0	9702696773	6413608	13899277	155275	5	222	1	37
1677752753	30	2491282	2495212	0	4973968	10209327606	0	37276	0	10782910885	7127582	15455293	172818	6	249	1	37
1677752755	32	2493066	2496996	0	5358052	11922672679	0	37276	0	12599495426	8328258	17899488	200174	7	288	1	37
1677752757	34	2499290	2503220	0	5161444	13714269420	0	37276	0	14499147578	9583675	20348270	227823	8	329	1	37
1677752759	36	2522194	2526124	0	5102036	15443995979	0	37276	0	16333156114	10795898	23024747	257569	8	369	1	37
1677752761	38	2558354	2562284	0	5308648	16986062025	0	37276	0	17968091713	11876424	25183383	281941	9	406	1	37
1677752763	40	2550386	2554316	0	5314404	18686619603	0	37276	0	19771055384	13068110	27666313	309783	10	446	1	37
1677752765	42	2580258	2584188	0	5489504	20545609364	0	37276	0	21742712941	14371177	30249683	338917	11	488	1	37
1677752767	44	2601310	2605240	0	5296636	22302095028	0	37276	0	23604607720	15601812	32737018	366726	12	529	1	37
1677752769	46	2628742	2632672	0	5364732	24138193746	0	37276	0	25551615716	16888541	35364610	396312	13	569	1	37
1677752771	48	2642958	2646888	0	5366936	25696438883	0	37276	0	27203297282	17980155	37604254	421499	14	604	1	37
1677752773	50	2641822	2645752	0	5303032	27475150421	0	37276	0	29089689270	19227008	40130448	449701	15	645	1	37
1677752775	52	2639598	2643528	0	5237496	29229385021	0	37276	0	30949453175	20456078	42687539	478450	16	684	1	37
