Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677749995	1	364240	367180	0	515848	34402076	0	35127	0	75	1	664	3	0	0	1	1
1677749997	3	523300	527136	0	1127152	37269397	0	36285	0	44397	63	10966	58	0	2	1	6
1677749999	5	604876	608712	0	1269372	39434021	0	36331	0	45064	71	12347	69	0	4	1	6
1677750001	7	604992	608828	0	1269372	39434021	0	36331	0	45214	73	13013	73	0	6	1	6
1677750003	9	642592	646428	0	1305468	39434021	0	36377	0	45430	76	13877	78	0	8	1	6
1677750005	11	642944	646780	0	1305740	39436109	0	36377	0	49156	99	18566	110	0	10	1	6
1677750007	13	662904	666740	0	1501392	39662586	0	36977	0	296860	358	43020	278	0	12	1	6
1677750009	15	674168	678004	0	1571224	39737892	0	37193	0	379398	448	51729	335	0	13	1	6
1677750011	17	870844	874680	0	1981316	304139761	0	37226	0	280716907	185758	486003	5195	0	17	1	9
1677750013	19	884708	888544	0	1921928	577112251	0	37226	0	570144017	377102	921928	10094	0	21	1	9
1677750015	21	894728	898564	0	1951228	854665731	0	37226	0	864427589	571648	1399912	15488	0	26	1	9
1677750017	23	898640	902476	0	1951448	1138756549	0	37226	0	1165643995	770793	1864307	20725	0	30	1	9
1677750019	25	909064	912900	0	2016984	1422783074	0	37226	0	1466788804	969852	2297661	25568	1	34	1	9
1677750021	27	920108	923944	0	2016984	1694201756	0	37226	0	1754563726	1160045	2661203	29707	1	38	1	9
1677750023	29	895104	898940	0	1971492	1994799484	0	37226	0	2073278870	1370724	3132353	34994	1	42	1	9
1677750025	31	914032	917868	0	2049184	2295895570	0	37226	0	2392521232	1581737	3573637	39964	1	46	1	9
1677750027	33	868816	872652	0	2010468	2591809078	0	37226	0	2706271807	1789158	4075375	45595	1	51	1	9
1677750029	35	907864	911700	0	2049632	2865932057	0	37226	0	2996914064	1981247	4478311	50190	1	55	1	9
1677750031	37	918288	922124	0	2049632	3104371292	0	37226	0	3249725102	2148370	4826298	54084	1	58	1	9
1677750033	39	913548	917384	0	2044872	3380432589	0	37226	0	3542598361	2341976	5228138	58564	1	62	1	9
