ncores,wallclock_time_s,read_rate_MB_s,read_rate_MiB_s,total_read_data_GB,total_read_data_GiB
02,2833,66.45109979668196,63.37270717304417,188.255965724,175.32703068479896
04,1479,127.2856356443543,121.3890415614646,188.255455118,175.32655514590442
08,823,228.74281565492103,218.14614835254767,188.255337284,175.32644540444016
16,419,449.2965679116945,428.48259726685956,188.255261955,175.32637524884194
32,236,797.7592510677966,760.8025084188429,188.271183252,175.3412031121552
64,204,926.243208230392,883.3343584350511,188.953614479,175.97676671948284
