ncores,wallclock_time_s,read_rate_MB_s,read_rate_MiB_s,total_read_data_GB,total_read_data_GiB
02,3459,44.69340818184447,42.62295549568602,154.594498901,143.97734673786908
04,1723,89.72385402263494,85.56733515037054,154.594200481,143.97706881258637
08,865,178.7221991699422,170.4427711200163,154.594702282,143.97753615118563
16,453,341.27022798234,325.46065138086317,154.595413276,143.97819831594825
32,258,599.2125836085272,571.4536510548851,154.596846571,143.97953317593783
64,213,726.1916761971831,692.5503503772575,154.67882703,144.05588342808187
