ncores,wallclock_time_s,read_rate_MB_s,read_rate_MiB_s,total_read_data_GB,total_read_data_GiB
02,9381,17.062716464129622,16.272274459962485,160.06534315,149.07246748916805
04,4601,34.79054147750489,33.17884586096276,160.071281338,149.07799785770476
08,2275,70.36102345714286,67.10150094713484,160.071328365,149.07804165501148
16,1167,137.1661387300771,130.81182358749115,160.072883898,149.07949035800993
32,705,227.05903378014182,216.5403688241404,160.076618815,149.08296877052635
64,539,297.0067588701299,283.24771773350705,160.086643031,149.09230454917997
