ncores,wallclock_time_s,read_rate_MB_s,read_rate_MiB_s,total_read_data_GB,total_read_data_GiB
02,3017,62.42644665329797,59.53449883775518,188.340589553,175.40584276709706
04,1737,108.4776808578008,103.45237813739854,188.42573165,175.48513752408326
08,779,242.36548087804877,231.13773429684522,188.802709604,175.8362256027758
16,467,405.85973271948603,387.0580031580792,189.53649518,176.51961667463183
32,245,779.7719942081633,743.6485235292084,191.044138581,177.9237190084532
64,163,1190.7198762147239,1135.5589639804114,194.087339823,180.75792102422565
