Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677879216	1	406391	409612	0	613808	36302963	0	35998	0	150	2	474	4	0	0	1	1
1677879218	3	543610	547928	0	1156072	45854750	0	36435	0	195465	225	23321	172	0	2	1	6
1677879220	5	625238	629556	0	1299164	48019374	0	36481	0	196050	234	24524	184	0	4	1	6
1677879222	7	631906	636224	0	1306040	48019374	0	36481	0	196320	238	25322	190	0	6	1	6
1677879224	9	667246	671564	0	1339692	48019374	0	36481	0	196470	240	25988	194	0	8	1	6
1677879226	11	667530	671848	0	1339692	48019374	0	36527	0	197116	248	27162	204	0	10	1	6
1677879228	13	691230	695548	0	1509608	48700114	0	37011	0	944270	876	62609	449	0	11	1	6
1677879230	15	703498	707816	0	1580424	48972383	0	37235	0	1239618	1108	74721	529	0	13	1	6
1677879232	17	731234	735552	0	3786336	51831959	0	37377	0	4348560	3572	191908	1298	0	15	1	37
1677879234	19	1082014	1086332	0	3815504	281190507	0	37409	0	250112000	166579	854504	7832	0	15	1	37
1677879236	21	2270906	2275224	0	4781816	840807800	0	37409	0	845102672	560964	2431703	23898	1	35	1	37
1677879238	23	2364154	2368472	0	4769052	1245940266	0	37409	0	1274681910	845852	3423506	33003	1	55	1	37
1677879240	25	2330670	2334988	0	4244960	1663388918	0	37409	0	1717407525	1139354	4569607	43805	2	69	1	37
1677879242	27	2466574	2470892	0	4964096	2361168191	0	37409	0	2457317744	1628935	5887659	57076	2	91	1	37
1677879244	29	2566206	2570524	0	4956044	2703754398	0	37409	0	2820612735	1869520	6565491	63388	3	109	1	37
1677879246	31	2642318	2646636	0	5286520	3087544195	0	37409	0	3227618337	2139156	7333574	70393	3	122	1	37
1677879248	33	2670038	2674356	0	5063316	3457841516	0	37409	0	3620324609	2399433	8153483	77687	3	139	1	37
1677879250	35	2591342	2595660	0	4507104	3482026481	0	37409	0	3645988580	2416576	8293494	78673	4	139	1	37
1677879252	37	2671922	2676240	0	5122088	4123778610	0	37409	0	4326490823	2866901	9471363	90118	4	164	1	37
1677879254	39	2692046	2696364	0	4728756	4500504714	0	37409	0	4726265542	3131806	10275865	97361	4	178	1	37
1677879256	41	2718098	2722416	0	5188556	5004867006	0	37409	0	5260835630	3485632	11372195	108234	5	194	1	37
1677879258	43	2718098	2722416	0	5188556	5007452670	0	37409	0	5263589966	3487568	11439166	108592	5	195	1	37
1677879260	45	2658458	2662776	0	4668756	5420028344	0	37409	0	5701123126	3777475	12366206	117006	5	210	1	37
1677879262	47	2722406	2726724	0	5058396	5780401979	0	37409	0	6083249612	4030285	13130274	124621	6	224	1	37
1677879264	49	2675310	2679628	0	4668816	5787317883	0	37409	0	6090610836	4035372	13229456	125240	6	225	1	37
1677879266	51	2675310	2679628	0	4668816	5787317883	0	37409	0	6090610986	4035374	13230122	125244	6	225	1	37
1677879268	53	2733270	2737588	0	5095408	6103188966	0	37409	0	6425545990	4256927	13763314	130483	6	238	1	37
1677879270	55	2679986	2684304	0	4670064	6128577831	0	37409	0	6452501782	4275042	13931921	131622	6	239	1	37
1677879272	57	2675922	2680240	0	4631232	6704067346	0	37409	0	7062748524	4678917	14904047	140816	7	253	1	37
1677879274	59	2765062	2769380	0	5451152	7218350835	0	37409	0	7609517507	5040843	16259787	154134	7	276	1	37
1677879276	61	2747502	2751820	0	5158268	7535732532	0	37409	0	7946073131	5263649	16882911	160052	7	291	1	37
1677879278	63	2750790	2755108	0	5227532	7937547448	0	37425	0	8372180264	5545816	17632351	166858	8	306	1	37
1677879280	65	2756326	2760644	0	5221056	8287880543	0	37425	0	8743698177	5791969	18336677	172944	8	322	1	37
1677879282	67	2768334	2772652	0	5293552	8622637587	0	37425	0	9098679457	6026972	19028235	179653	8	334	1	37
1677879284	69	2691182	2695500	0	4703712	8647036794	0	37425	0	9124588927	6044424	19213413	180839	8	335	1	37
1677879286	71	2793510	2797828	0	5060624	8975953869	0	37425	0	9473351623	6275101	19662864	185299	9	348	1	37
1677879288	73	2830554	2834872	0	4896892	9311582277	0	37425	0	9829277801	6510907	20407118	192020	9	359	1	37
1677879290	75	2949074	2953392	0	5318340	9832862020	0	37425	0	10382036729	6876733	21309952	200680	9	375	1	37
1677879292	77	2973414	2977732	0	5251964	10165606800	0	37425	0	10735699792	7111124	22327724	209998	10	394	1	37
1677879294	79	2963254	2967572	0	5060272	10554179357	0	37425	0	11147773716	7384133	23153835	217374	10	410	1	37
1677879296	81	2828882	2833200	0	4865420	11076842678	0	37425	0	11702030368	7751173	24262036	227999	11	429	1	37
1677879298	83	2924634	2928952	0	5126224	11636399191	0	37425	0	12295385882	8143980	25425569	239004	11	446	1	37
1677879300	85	2949306	2953624	0	5183588	11776928355	0	37425	0	12444417204	8242718	25794585	242436	11	456	1	37
1677879302	87	2968246	2972564	0	5193788	12195391308	0	37425	0	12888254865	8536748	26789963	251690	12	472	1	37
1677879304	89	2982858	2987176	0	5314200	12905830621	0	37425	0	13641517740	9035198	27967041	263017	12	493	1	37
1677879306	91	2863310	2867628	0	4834784	12959888194	0	37425	0	13698879792	9073463	28208590	264841	12	500	1	37
1677879308	93	2913766	2918084	0	4965856	13388280556	0	37425	0	14153173443	9374397	29145381	273227	13	517	1	37
1677879310	95	2954654	2958972	0	5221056	13999840618	0	37425	0	14801659533	9803538	30249303	283955	13	535	1	37
1677879312	97	3022814	3027132	0	5585000	14330946620	0	37425	0	15152769746	10035990	30830104	289264	14	554	1	37
1677879314	99	3053362	3057680	0	5439004	14706171152	0	37425	0	15550678670	10299528	31607014	296254	14	570	1	37
1677879316	101	3031958	3036276	0	5347736	15037856900	0	37425	0	15902410472	10532450	32342322	303232	14	578	1	37
1677879318	103	3048598	3052916	0	5163004	15489610057	0	37425	0	16381462918	10849647	33277541	312090	15	596	1	37
1677879320	105	3044310	3048628	0	5192304	15531374032	0	37425	0	16425775906	10879187	33460064	313441	15	603	1	37
1677879322	107	3044310	3048628	0	5192304	15531374032	0	37425	0	16425776131	10879190	33460871	313447	15	603	1	37
1677879324	109	3069970	3074288	0	5426724	15856094191	0	37425	0	16770115958	11107163	34127899	319912	15	614	1	37
1677879326	111	3044386	3048704	0	5517492	16375966497	0	37425	0	17321393416	11472104	35210330	330201	15	637	1	37
1677879328	113	3017310	3021628	0	5063240	16419841374	0	37425	0	17367956957	11503230	35461033	332074	15	638	1	37
1677879330	115	3012138	3016456	0	4996676	16787066448	0	37425	0	17757368332	11761008	36172656	338850	16	651	1	37
1677879332	117	3018922	3023240	0	5062212	16967989345	0	37441	0	17949201073	11887864	36461982	341910	16	654	1	37
1677879334	119	3060690	3065008	0	5290152	16984512188	0	37441	0	17966747787	11899683	36579557	342718	16	661	1	37
1677879336	121	3032570	3036888	0	5445504	17352688445	0	37441	0	18357151033	12157999	37204964	348714	16	677	1	37
1677879338	123	3071730	3076048	0	5650272	17669806350	0	37441	0	18693428363	12380643	37961712	355890	16	689	1	37
1677879340	125	2999634	3003952	0	5189064	18074814067	0	37441	0	19122923686	12665135	38825888	363787	17	706	1	37
1677879342	127	2999634	3003952	0	5189064	18082743761	0	37441	0	19131331835	12670699	38841747	363946	17	706	1	37
1677879344	129	3103474	3107792	0	5621316	18425751087	0	37441	0	19496181661	12912101	39442512	369831	17	718	1	37
1677879346	131	3026418	3030736	0	4996800	18894806305	0	37441	0	19993846758	13241865	40447126	378717	18	736	1	37
1677879348	133	3087626	3091944	0	5519032	19290391619	0	37441	0	20413089478	13519345	41218880	386156	18	754	1	37
1677879350	135	3087626	3091944	0	5519032	19292044998	0	37441	0	20414848643	13520575	41262541	386381	18	754	1	37
1677879352	137	3041274	3045592	0	5060504	19913447766	0	37441	0	21076256286	13958377	42394640	397026	18	770	1	37
1677879354	139	3013018	3017336	0	5002952	20320680717	0	37441	0	21505651839	14242691	43126991	403741	19	787	1	37
1677879356	141	3059478	3063796	0	5380348	20365269098	0	37441	0	21552928966	14273950	43203237	404578	19	799	1	37
1677879358	143	3085610	3089928	0	5380348	20372161330	0	37441	0	21560260895	14278979	43303994	405141	19	799	1	37
1677879360	145	3033654	3037972	0	4997184	20721425963	0	37441	0	21930664458	14524506	44042897	411422	19	815	1	37
1677879362	147	3059278	3063596	0	5089984	21318127274	0	37441	0	22570389776	14947812	45276523	423119	20	831	1	37
1677879364	149	3127738	3132056	0	5561128	21771723350	0	37441	0	23050619673	15265689	46078808	430628	20	851	1	37
1677879366	151	3134106	3138424	0	5702948	22182850680	0	37441	0	23486609021	15554496	46884790	437730	21	873	1	37
1677879368	153	3106674	3110992	0	5385512	22528797440	0	37441	0	23853457043	15797377	47495047	443317	21	886	1	37
1677879370	155	3106674	3110992	0	5385512	22528797440	0	37441	0	23853457193	15797379	47495713	443321	21	886	1	37
1677879372	157	3137950	3142268	0	5460132	22945330450	0	37441	0	24295157914	16089813	48313039	451024	21	900	1	37
1677879374	159	3136190	3140508	0	5555872	23287605082	0	37441	0	24658142202	16330358	49021708	457218	22	918	1	37
1677879376	161	3153290	3157608	0	5597848	23650205006	0	37441	0	25042650586	16584930	49724105	463622	22	933	1	37
1677879378	163	3144870	3149188	0	5460628	23960735147	0	37441	0	25371935516	16802881	50366868	469887	22	945	1	37
1677879380	165	3163050	3167368	0	5575524	24323568101	0	37441	0	25756681525	17057542	51023488	476184	23	956	1	37
1677879382	167	3036722	3041040	0	5187400	24754492194	0	37441	0	26213659463	17360232	51888001	484103	23	975	1	37
1677879384	169	3053846	3058164	0	5386532	25263172065	0	37441	0	26753091235	17717509	52989248	494259	23	997	1	37
1677879386	171	3038838	3043156	0	5161776	25603888727	0	37441	0	27114408840	17956848	53686719	500566	24	1012	1	37
1677879388	173	3039274	3043592	0	5127492	26056232937	0	37441	0	27594079030	18274377	54567516	508917	24	1029	1	37
1677879390	175	3069294	3073612	0	5505004	26483077434	0	37441	0	28046721793	18574126	55443822	516988	24	1046	1	37
1677879392	177	3055390	3059708	0	5388152	26825151776	0	37441	0	28409467012	18814299	56029095	522253	25	1063	1	37
1677879394	179	3009426	3013744	0	4996920	27235150871	0	37441	0	28844273553	19102453	56926850	530203	25	1081	1	37
1677879396	181	3033142	3037460	0	4961864	27861697430	0	37441	0	29511506444	19544019	58045315	540812	26	1101	1	37
1677879398	183	3052346	3056664	0	5226440	28302986222	0	37441	0	29981266714	19855126	59372131	553281	26	1126	1	37
1677879400	185	3048150	3052468	0	5190200	28340619938	0	37441	0	30021178116	19881581	59475433	554285	26	1131	1	37
1677879402	187	3048150	3052468	0	5190200	28340619938	0	37441	0	30021178266	19881583	59476099	554289	26	1131	1	37
