Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677880586	1	242833	245220	0	457960	2600686	0	34566	0	60	1	60	1	0	0	1	1
1677880588	3	529713	534132	0	1111988	45855766	0	36435	0	190451	217	20582	155	0	1	1	6
1677880590	5	596193	600612	0	1268364	48020390	0	36481	0	190845	221	22023	168	0	3	1	6
1677880592	7	625657	630076	0	1297924	48020390	0	36481	0	191202	226	22905	175	0	5	1	6
1677880594	9	652469	656888	0	1326364	48020390	0	36481	0	191352	228	23571	179	0	7	1	6
1677880596	11	667349	671768	0	1337816	48020390	0	36527	0	191577	231	24378	185	0	9	1	6
1677880598	13	673469	677888	0	1490512	48701130	0	36953	0	936900	852	59495	427	0	11	1	6
1677880600	15	701441	705860	0	1576640	48973399	0	37181	0	1231423	1081	71334	504	0	13	1	6
1677880602	17	740077	744496	0	6020824	49110919	0	37360	0	1396806	1280	89790	642	0	15	1	69
1677880604	19	758401	762820	0	6020824	57686380	0	37392	0	10692193	8528	431289	2940	0	15	1	69
1677880606	21	910757	915176	0	6145684	93648171	0	37392	0	48896658	34217	653840	4749	1	17	1	69
1677880608	23	3088413	3092832	0	6675800	719069929	0	37424	0	714947071	474684	2155255	21041	2	30	1	69
1677880610	25	3431153	3435572	0	7392704	799794511	0	37424	0	800471491	531568	2454040	23762	2	61	1	69
1677880612	27	3501589	3506008	0	7225392	820433741	0	37424	0	822429724	546587	2693818	25359	3	62	1	69
1677880614	29	3583957	3588376	0	6706352	1116197997	0	37424	0	1136122099	754576	3407959	32097	3	78	1	69
1677880616	31	3745985	3750404	0	6935604	1477527619	0	37424	0	1521104080	1009592	4349371	41073	4	96	1	69
1677880618	33	3706401	3710820	0	6350324	1759985198	0	37424	0	1820619866	1207750	4837331	46211	4	111	1	69
1677880620	35	3799105	3803524	0	6737500	2116142577	0	37424	0	2198303741	1457790	5526968	52948	5	128	1	69
1677880622	37	3848065	3852484	0	7025964	2762681910	0	37424	0	2883887655	1911500	6815662	65578	6	146	1	69
1677880624	39	3795177	3799596	0	6377416	2875988668	0	37424	0	3004161864	1991980	7450372	70326	6	176	1	69
1677880626	41	3956397	3960816	0	7426684	3590566766	0	37424	0	3766282318	2495943	8663622	83024	7	219	1	69
1677880628	43	3857481	3861900	0	6352344	3690337854	0	37424	0	3872142009	2566481	9093021	86436	7	226	1	69
1677880630	45	3986013	3990432	0	7328444	4234945779	0	37424	0	4451603058	2949671	10345851	99180	8	259	1	69
1677880632	47	3897753	3902172	0	6349828	4357821511	0	37424	0	4581970371	3036448	10828641	103148	8	261	1	69
1677880634	49	4008517	4012936	0	7355404	5080155820	0	37424	0	5350631598	3544942	12146767	116279	9	306	1	69
1677880636	51	4022637	4027056	0	7008280	5761772323	0	37424	0	6073518166	4023351	13202724	125977	10	322	1	69
1677880638	53	3941613	3946032	0	6282584	5811255372	0	37424	0	6125976305	4058774	13633981	128855	11	361	1	69
1677880640	55	4076333	4080752	0	7366528	6485745572	0	37424	0	6846901106	4535729	14923383	141379	12	404	1	69
1677880642	57	4090089	4094508	0	7401164	7159788607	0	37424	0	7564685030	5010564	16078491	152900	13	427	1	69
1677880644	59	4004333	4008752	0	6610264	7270640090	0	37424	0	7682307301	5088968	16549458	156573	14	446	1	69
1677880646	61	4062189	4066608	0	7267160	7935453369	0	37424	0	8392871083	5558933	17809394	169300	14	477	1	69
1677880648	63	4121593	4126012	0	7531656	8023779911	0	37424	0	8486423759	5620989	18090080	171863	15	493	1	69
1677880650	65	4121593	4126012	0	7531656	8025296664	0	37424	0	8488038807	5622120	18128377	172062	15	493	1	69
1677880652	67	4084137	4088556	0	6701892	8566902584	0	37424	0	9066417753	6004916	19376768	183916	16	502	1	69
1677880654	69	4043625	4048044	0	6462388	8847716367	0	37424	0	9364134937	6202409	20192285	191203	16	544	1	69
1677880656	71	4152789	4157208	0	7359180	9529184357	0	37424	0	10088911572	6681728	21295396	202265	17	577	1	69
1677880658	73	4082221	4086640	0	6647036	9673063148	0	37424	0	10241534509	6783344	21906386	207137	18	593	1	69
1677880660	75	4171485	4175904	0	7628372	10195022763	0	37440	0	10800519500	7153141	22974360	217861	18	625	1	69
1677880662	77	4171529	4175948	0	7628372	10195022763	0	37440	0	10800519845	7153146	22975299	217869	18	625	1	69
1677880664	79	4171533	4175952	0	7628372	10198696609	0	37440	0	10804430734	7155879	23065843	218331	18	625	1	69
1677880666	81	4139369	4143788	0	7232656	10921811662	0	37440	0	11575510184	7666099	24457053	232194	20	649	1	69
