Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677700480	1	406280	410408	0	613720	36302001	0	35936	0	555	5	798	6	0	0	1	1
1677700482	3	539457	544532	0	1207816	45849456	0	36373	0	170420	150	12659	70	0	2	1	6
1677700484	5	619273	624348	0	1283820	48014080	0	36419	0	170636	153	13523	75	0	4	1	6
1677700486	7	619333	624408	0	1283820	48014080	0	36419	0	170981	158	14462	83	0	6	1	6
1677700488	9	658269	663344	0	1321088	48014080	0	36465	0	171272	162	15467	90	0	8	1	6
1677700490	11	658549	663624	0	1321340	48014412	0	36465	0	171819	166	16611	97	0	10	1	6
1677700492	13	684241	689316	0	1522652	48835203	0	37081	0	1050274	849	48533	312	0	11	1	6
1677700494	15	705909	710984	0	1602916	49109118	0	37281	0	1343811	1082	61107	401	0	13	1	6
1677700496	17	746257	751332	0	6001552	57720526	0	37315	0	10530980	7881	336499	2182	0	14	1	69
1677700498	19	3257509	3262584	0	7703440	819254146	0	37331	0	817998278	542125	1910327	18605	2	26	1	69
1677700500	21	3571557	3576632	0	8162192	853005591	0	37331	0	853826033	566324	2167530	20404	3	32	1	69
1677700502	23	3616757	3621832	0	6521556	919694498	0	37331	0	924575987	613624	2562254	23679	3	36	1	69
1677700504	25	3958553	3963628	0	7735748	1572386712	0	37331	0	1619345542	1073470	4180820	40317	4	48	1	69
1677700506	27	4440057	4445132	0	8518656	2183814394	0	37331	0	2267680276	1502507	5215127	50485	5	61	1	69
1677700508	29	4398749	4403824	0	7277956	2459498707	0	37331	0	2562672941	1698184	5998266	57595	6	64	1	69
1677700510	31	4609941	4615016	0	7510804	3018999184	0	37331	0	3155681440	2090717	7213749	69532	7	77	1	69
1677700512	33	4666009	4671084	0	7576340	3021295303	0	37331	0	3158121716	2092400	7255181	69771	7	78	1	69
1677700514	35	4795321	4800396	0	8821524	3618438349	0	37331	0	3795088615	2513726	8755974	85014	7	89	1	69
1677700516	37	4795337	4800412	0	8821524	3620211338	0	37331	0	3796975168	2515064	8802114	85270	7	90	1	69
1677700518	39	4795337	4800412	0	8821524	3620211338	0	37331	0	3796975393	2515067	8802921	85276	7	90	1	69
1677700520	41	4795337	4800412	0	8821524	3620368352	0	37331	0	3797142472	2515184	8804312	85286	7	90	1	69
1677700522	43	4760125	4765200	0	8195460	3661567284	0	37331	0	3840851051	2544422	9034461	87002	8	91	1	69
1677700524	45	4925709	4930784	0	8660572	4384597998	0	37331	0	4609742460	3053198	10440512	101404	8	105	1	69
1677700526	47	5183693	5188768	0	8791644	4765906139	0	37347	0	5014074876	3321015	11436136	110752	9	113	1	69
1677700528	49	5298941	5304016	0	9119324	5434582946	0	37347	0	5726308484	3792499	13148786	127721	10	127	1	69
1677700530	51	5321357	5326432	0	8690452	5928769545	0	37379	0	6252859382	4141038	14195717	138008	11	135	1	69
1677700532	53	5430661	5435736	0	8859504	6162166237	0	37379	0	6500357357	4305246	14965746	144908	11	143	1	69
1677700534	55	5594345	5599420	0	9199164	6832412413	0	37379	0	7211048565	4775702	16175132	156559	12	158	1	69
1677700536	57	5732941	5738016	0	9741032	7365549098	0	37379	0	7776349384	5149788	17083640	165073	13	169	1	69
1677700538	59	5771009	5776084	0	9835868	7996686878	0	37379	0	8445566812	5592701	18208104	176140	14	182	1	69
1677700540	61	5744757	5749832	0	9180508	8125357602	0	37379	0	8582039140	5683517	18700904	180074	15	185	1	69
1677700542	63	5778337	5783412	0	9377116	8629838891	0	37379	0	9121004660	6040198	20170974	194432	15	195	1	69
