Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677699460	1	241211	244652	0	457732	2600616	0	34504	0	75	1	141	2	0	0	1	1
1677699462	3	533078	538148	0	1136340	45850475	0	36373	0	169940	146	11867	67	0	1	1	6
1677699464	5	596394	601464	0	1261060	48015099	0	36419	0	170156	149	12731	72	0	3	1	6
1677699466	7	619194	624264	0	1283728	48015099	0	36419	0	170381	152	13538	78	0	5	1	6
1677699468	9	649366	654436	0	1312028	48015099	0	36465	0	170597	155	14402	83	0	7	1	6
1677699470	11	657678	662748	0	1320324	48015099	0	36465	0	170822	158	15209	89	0	9	1	6
1677699472	13	680218	685288	0	1518460	48835653	0	37081	0	1047951	829	45434	284	0	11	1	6
1677699474	15	698922	703992	0	1595760	49109568	0	37281	0	1341402	1061	57640	369	0	13	1	6
1677699476	17	1203518	1208588	0	3793096	338553843	0	37315	0	308590749	204865	907930	8622	0	15	1	37
1677699478	19	2201358	2206428	0	4614592	742458510	0	37331	0	738200234	489605	2112083	20715	1	31	1	37
1677699480	21	2239370	2244440	0	4200980	1372368950	0	37331	0	1408373116	933440	3632649	35803	2	42	1	37
1677699482	23	2277702	2282772	0	4420844	1700023960	0	37331	0	1755829001	1163810	4530837	44250	2	55	1	37
1677699484	25	2225394	2230464	0	3923584	2058660179	0	37331	0	2136137863	1415943	5453389	52699	2	64	1	37
1677699486	27	2351698	2356768	0	4818080	2746713276	0	37331	0	2867528296	1900007	6890078	66938	3	80	1	37
1677699488	29	2276830	2281900	0	3993668	3216358709	0	37331	0	3367667921	2231363	7984351	77189	4	90	1	37
1677699490	31	2340158	2345228	0	4551088	3770395712	0	37347	0	3956024578	2620619	9050138	87855	4	105	1	37
1677699492	33	2330746	2335816	0	4307592	4145457971	0	37347	0	4353732416	2884055	9813630	94801	4	114	1	37
1677699494	35	2310078	2315148	0	3991820	4456031186	0	37347	0	4683076114	3102437	10514120	100710	5	122	1	37
1677699496	37	2405578	2410648	0	4585388	5160064050	0	37347	0	5429571946	3596292	11634753	111871	5	137	1	37
1677699498	39	2398290	2403360	0	4583744	5504583359	0	37347	0	5794890477	3838242	12296487	117939	6	147	1	37
1677699500	41	2328038	2333108	0	4025360	5887785672	0	37347	0	6201246947	4107621	13091994	124708	6	158	1	37
1677699502	43	2394842	2399912	0	4510636	6618258034	0	37347	0	6975793776	4620262	14327897	136311	7	175	1	37
1677699504	45	2323318	2328388	0	3959824	7002366809	0	37347	0	7383104870	4890194	15196134	144149	7	185	1	37
1677699506	47	2382174	2387244	0	4313956	7343554054	0	37347	0	7746954713	5131002	16187019	153822	8	193	1	37
1677699508	49	2371070	2376140	0	4545328	7742043024	0	37347	0	8169420947	5410624	16944844	161275	8	202	1	37
1677699510	51	2323334	2328404	0	3959824	8095398243	0	37347	0	8544130457	5659068	17726954	167915	8	211	1	37
1677699512	53	2410802	2415872	0	4509468	8764860531	0	37347	0	9255859490	6130091	19345197	183930	9	227	1	37
1677699514	55	2335638	2340708	0	3959824	9102667688	0	37347	0	9614076903	6367555	20162560	191195	10	237	1	37
1677699516	57	2396246	2401316	0	4412220	9761160127	0	37347	0	10312295740	6829616	21342874	202689	10	253	1	37
1677699518	59	2338930	2344000	0	3959824	10096661700	0	37347	0	10671239860	7067621	22190347	209838	11	262	1	37
1677699520	61	2422522	2427592	0	4454120	10787220544	0	37347	0	11403455312	7552118	23416515	222020	11	279	1	37
1677699522	63	2393066	2398136	0	4000804	11188002666	0	37347	0	11828451099	7833819	24221223	228693	12	290	1	37
1677699524	65	2420418	2425488	0	4584880	11838116545	0	37347	0	12517778201	8289884	25280578	239125	12	304	1	37
1677699526	67	2419458	2424528	0	4768032	12266660687	0	37363	0	12972199702	8590922	26226868	247848	13	317	1	37
1677699528	69	2383214	2388284	0	4084540	12944644134	0	37379	0	13691098839	9066828	27360097	258199	13	330	1	37
1677699530	71	2404522	2409592	0	4358856	13350234509	0	37379	0	14121178147	9351710	28298314	266967	14	344	1	37
1677699532	73	2338014	2343084	0	3924168	13898758555	0	37379	0	14703549712	9737347	29276733	275867	14	353	1	37
1677699534	75	2399754	2404824	0	4233080	14379071898	0	37379	0	15212114091	10074040	30179669	284312	15	369	1	37
1677699536	77	2330762	2335832	0	3894288	14744163666	0	37395	0	15599256691	10330566	31036772	292186	15	378	1	37
1677699538	79	2407858	2412928	0	4433156	15044476765	0	37395	0	15917687491	10541286	31550801	297095	16	386	1	37
1677699540	81	2354578	2359648	0	3996292	15419754020	0	37395	0	16315632706	10804990	32602333	306786	16	395	1	37
1677699542	83	2354578	2359648	0	3996292	15429161866	0	37395	0	16325610609	10811622	32638988	307050	16	395	1	37
1677699544	85	2343762	2348832	0	3953468	16075186382	0	37395	0	17010745209	11264986	33660754	316846	17	405	1	37
1677699546	87	2423238	2428308	0	4581984	16465072059	0	37395	0	17424033602	11538730	34378222	323173	17	422	1	37
1677699548	89	2410974	2416044	0	4637708	16836075740	0	37395	0	17817434332	11799258	35040871	329002	18	432	1	37
1677699550	91	2373282	2378352	0	4321636	17503192939	0	37395	0	18527153892	12268972	36234582	340497	18	444	1	37
1677699552	93	2410590	2415660	0	4579496	17857000190	0	37411	0	18902322987	12517484	36861754	345948	19	458	1	37
1677699554	95	2414638	2419708	0	4517216	18230005370	0	37411	0	19297844174	12779390	37776110	354610	19	467	1	37
1677699556	97	2404514	2409584	0	4355588	18557000533	0	37411	0	19644584339	13009071	38501241	361195	19	475	1	37
