Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678044560	75	1	333	2	1	77680	80668	0	2780360	1	64	12479303	0	0	0	6	2
1678044562	1567277	2171	396223	1887	3	821265	1424616	0	44682908	9	59	23831582	0	203157	4096	14	10
1678044564	5451416	6756	1298392	5546	5	809980	1413152	0	45193504	9	57	27264657	0	690923	4096	14	23
1678044566	9016975	10591	2082649	8442	7	831905	1434980	0	45215264	9	59	30529811	0	1149618	4096	14	35
1678044568	12710541	14533	2915142	11441	9	802876	1405920	0	45185148	9	58	34023514	0	1652189	4096	14	48
1678044570	16271082	18185	3690496	14115	11	818129	1421164	0	45199964	9	58	37288628	0	2118650	4096	14	60
1678044572	20011279	21796	4071069	16466	13	817132	1420108	0	45198604	9	56	40838175	0	2615222	4096	14	73
1678044574	23602975	25141	4411435	18509	15	830448	1433424	0	45211780	9	59	44227434	0	3086911	4096	14	86
1678044576	27023246	28328	4736270	20456	17	826952	1429928	0	45207972	9	58	47466329	0	3547803	4096	15	98
1678044578	30712121	31590	5063531	22325	19	834360	1437336	0	45215812	9	56	50909239	0	4034755	4096	15	111
1678044580	34397399	34960	5408682	24363	21	815540	1418516	0	45196028	9	58	54468791	0	4522324	4096	15	124
1678044582	37847140	38109	5731149	26265	23	823888	1426864	0	45204640	9	59	57724352	0	4970408	4096	15	136
1678044584	41587623	41453	6067355	28242	25	827556	1430532	0	45208224	9	59	61321610	0	5482915	4096	15	149
1678044586	45119163	44582	6379135	30037	27	828776	1431752	0	45208224	9	58	64616339	0	5944188	4096	15	161
1678044588	48477597	47557	6685964	31799	29	831231	1434200	0	45210516	9	59	67877206	0	6410935	4096	15	174
1678044590	52054635	50680	6994390	33581	31	829055	1432024	0	45208660	9	58	71293055	0	6888900	4096	15	186
1678044592	55339871	53560	7288050	35263	33	825275	1428244	0	45204428	9	58	74455535	0	7329070	4096	16	198
1678044594	59099383	56737	7600574	37008	35	831535	1434504	0	45210984	9	58	77965901	0	7834706	4096	16	211
1678044596	62622664	59795	7904509	38741	37	829783	1432752	0	45208680	9	59	81256561	0	8296323	4096	16	223
1678044598	66205965	62874	8216059	40494	39	839267	1442236	0	45218152	9	58	84779851	0	8792632	4096	16	236
1678044600	70024434	66120	8539430	42297	41	835731	1438700	0	45214568	9	56	88369130	0	9303681	4096	16	250
1678044602	73522405	69086	8834412	43954	43	830631	1433600	0	45209176	9	57	91788699	0	9784990	4096	16	262
1678044604	77145095	72198	9147829	45716	45	832671	1435556	0	45210968	9	58	95250015	0	10273172	4096	16	275
1678044606	144693551	118266	9634444	49856	47	899980	1990228	0	45159104	9	59	164309893	0	10646404	4096	17	285
1678044608	474695924	336545	10155884	55574	49	2068913	3168896	0	46683704	9	59	484028554	0	10800843	4096	17	293
1678044610	815331628	561910	10745977	62023	51	2199981	2894676	0	46388740	9	59	805412823	0	10953352	4096	18	302
1678044612	1139766953	776494	11329826	68501	53	2564414	3258844	0	46752872	9	59	1113120779	0	11067642	4096	18	309
1678044614	1478018896	1000239	11858730	74337	55	3192254	3886612	0	47379936	9	59	1432873489	0	11201209	4096	18	316
1678044616	1820673359	1226822	12387965	80138	57	3954871	4645900	0	48136140	9	59	1767368068	0	11334815	4096	19	324
1678044618	2220849636	1491466	12985720	86693	59	4669305	5360240	0	48854072	9	59	2138412978	0	11506431	4096	19	334
1678044620	2541734991	1703718	13564093	93069	61	4945446	5636344	0	49120576	9	59	2442329628	0	11658298	4096	19	342
1678044622	2910206840	1947445	14192797	100006	63	4946576	5637436	0	49120576	9	59	2796766358	0	11810482	4096	20	350
1678044624	3250354745	2172410	14780677	106521	65	4969077	5659904	0	49142636	9	59	3113010533	0	11963544	4096	20	358
1678044626	3619511487	2416612	15456491	113962	67	4994418	5682448	0	49165332	9	59	3460471727	0	12115916	4096	20	367
1678044628	3951304572	2636009	16032610	120368	69	5052326	5740348	0	49222268	9	59	3764760394	0	12249423	4096	20	374
1678044630	4266176561	2844278	16558314	126138	71	4464449	5152464	0	48634148	9	59	4075889250	0	12402177	4096	20	382
1678044632	4630360299	3085099	17137263	132533	73	4465002	5153012	0	48634148	9	59	4408625556	0	12555332	4096	21	391
1678044634	4956295136	3300639	17702654	138790	75	4512444	5200444	0	48681956	9	59	4714684300	0	12708061	4096	21	399
1678044636	5330506247	3548170	18268757	144994	77	4751839	5438172	0	48919784	9	59	5070258350	0	12860616	4096	21	407
1678044638	5652576401	3761181	18800268	150830	79	4928179	5614500	0	49095752	9	59	5369637816	0	13012858	4096	21	415
1678044640	6019784213	4003989	19386528	157315	81	4900938	5587228	0	49068012	9	59	5720618611	0	13145861	4096	22	423
