Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678045429	75	1	333	2	1	77601	80480	0	2780352	1	64	12479303	0	0	0	6	2
1678045431	1894748	2648	356348	2268	3	1351400	2565524	0	84596964	17	113	25715758	0	259593	4096	14	13
1678045433	9231740	10553	1210344	7959	5	1408204	2621968	0	85697664	17	113	32303367	0	1116587	4096	14	38
1678045435	16600930	18170	2036655	13312	7	1415785	2627892	0	85702572	17	114	39253210	0	2027806	4096	14	64
1678045437	23797153	25275	2793505	18095	9	1411670	2623756	0	85697448	17	113	45917065	0	2900249	4096	15	90
1678045439	31792737	33027	3610859	23206	11	1427462	2639536	0	85712848	17	113	53392940	0	3876114	4096	15	118
1678045441	38850791	39776	4332176	27675	13	1412877	2624948	0	85695816	17	114	60098757	0	4777725	4096	15	144
1678045443	46261317	46699	5039518	31953	15	1434681	2646752	0	85716924	17	115	67166213	0	5683610	4096	16	170
1678045445	53438836	53152	5699548	35833	17	1447243	2654920	0	85725008	17	114	73985753	0	6588004	4096	16	195
1678045447	61537426	60445	6447020	40243	19	1437846	2645520	0	85714292	17	115	81520512	0	7599266	4096	16	224
1678045449	68718721	66902	7105392	44125	21	1432616	2640280	0	85709200	17	114	88369010	0	8507789	4096	16	249
1678045451	75834377	73143	7742480	47793	23	1434904	2642568	0	85710224	17	115	95286605	0	9431787	4096	17	275
1678045453	217273651	169136	8746562	56546	25	1763486	3956380	0	85776220	17	115	235954056	0	9995038	4096	18	293
1678045455	884710812	610646	9850355	68656	27	3911439	6123064	0	88687500	17	115	897755130	0	10336511	4096	19	309
1678045457	1530963469	1038059	10888696	80042	29	4465597	6014332	0	88519488	17	115	1512757603	0	10622428	4096	20	326
1678045459	2230861969	1500969	11997316	92203	31	5066547	6469336	0	88962716	17	115	2185661916	0	10908465	4096	21	343
1678045461	2937283135	1968188	13162586	105048	33	6404800	7807424	0	90300988	17	115	2857492762	0	11212426	4096	21	360
1678045463	3638503101	2431963	14294020	117433	35	7783796	9186284	0	91677460	17	115	3511156662	0	11498788	4096	22	376
1678045465	4318025831	2881305	15463169	130408	37	9335480	10735156	0	93213068	17	114	4143078900	0	11823119	4096	23	392
1678045467	5004369181	3335193	16622734	143191	39	9778698	11178268	0	93656556	17	114	4804008482	0	12125252	4096	23	410
1678045469	5726550981	3812899	17828892	156419	41	9838367	11237896	0	93712684	17	115	5467679126	0	12433588	4096	24	427
1678045471	6407168579	4262982	18988890	169217	43	9869465	11268888	0	93743148	17	115	6113055904	0	12719577	4096	24	444
1678045473	7109704300	4727518	20168080	182288	45	9986669	11386056	0	93859616	17	115	6780064785	0	13005544	4096	25	460
1678045475	7784830773	5173968	21203425	193683	47	9939603	11338952	0	93810116	17	115	7417081556	0	13291398	4096	25	477
1678045477	8476905711	5631668	22310461	205864	49	9151837	10551152	0	93020696	17	115	8068229919	0	13595515	4096	26	494
1678045479	9161929688	6084744	23447740	218334	51	9063276	10462568	0	92931128	17	115	8720260277	0	13900317	4096	26	511
1678045481	9831396256	6527389	24458284	229540	53	9089346	10488624	0	92957192	17	115	9338430914	0	14166794	4096	26	526
1678045483	10531391525	6990303	25590485	242000	55	9484734	10883992	0	93353976	17	115	10010588085	0	14471965	4096	27	543
1678045485	11217413158	7443919	26705567	254319	57	9670672	11068780	0	93536620	17	115	10641210494	0	14777027	4096	27	559
1678045487	11902576653	7897001	27811305	266563	59	9183090	10581184	0	93047352	17	115	11300611619	0	15063163	4096	28	576
1678045489	12599164831	8357617	28933986	278955	61	9094765	10492848	0	92956500	17	115	11964529525	0	15330891	4096	28	592
1678045491	13288113451	8813253	30038849	291075	63	9175189	10573252	0	93035772	17	115	12609475781	0	15617010	4096	29	609
1678045493	14008518682	9289548	31165474	303592	65	9599770	10997800	0	93462060	17	115	13284632616	0	15940162	4096	29	625
1678045495	14687423245	9738538	32342374	316559	67	9869158	11267120	0	93735512	17	115	13945475788	0	16206823	4096	30	642
1678045497	15359036270	10182608	33442540	328748	69	9344838	10742756	0	93215204	17	115	14573158875	0	16473150	4096	30	658
1678045499	16009229251	10612595	34517858	340591	71	9130728	10528616	0	92990084	17	115	15176319097	0	16778680	4096	31	674
1678045501	16706034161	11073378	35677969	353460	73	9212052	10609932	0	93070592	17	113	15831010465	0	17095419	4096	31	691
1678045503	17395620434	11529376	36809381	365943	75	9391438	10789308	0	93250936	17	115	16484062725	0	17387909	4096	31	708
1678045505	18023951728	11944881	37774474	376547	77	9431819	10829684	0	93299664	17	115	17092142657	0	17655463	4096	32	723
1678045507	18719599398	12404878	38941958	389477	79	9544157	10942000	0	93405120	17	115	17730712069	0	17941166	4096	32	739
1678045509	19410408728	12861683	40076268	402003	81	9479289	10877120	0	93338608	17	115	18399214862	0	18208264	4096	33	756
1678045511	20112112067	13325685	41210049	414516	83	9601244	10999048	0	93459048	17	115	19062781289	0	18551204	4096	33	773
1678045513	20797627297	13779007	42321665	426728	85	9631371	11029152	0	93488076	17	115	19677394943	0	18894098	4096	34	790
1678045515	21415630555	14187737	43385170	438412	87	9470450	10868208	0	93326080	17	115	20286813393	0	19178309	4096	34	806
1678045517	22070744509	14620970	44495478	450583	89	9449868	10847608	0	93304848	17	115	20897953934	0	19500409	4096	34	823
1678045519	22669917998	15017175	45513241	461836	91	9407687	10805408	0	93262736	17	115	21449134000	0	19765955	4096	35	837
1678045521	23363026876	15475511	46633949	474179	93	9557999	10955708	0	93414108	17	115	22106823913	0	20050448	4096	35	854
1678045523	24030569526	15916955	47732579	486209	95	9575083	10972788	0	93429816	17	115	22756134530	0	20375237	4096	36	871
1678045525	24679413569	16346009	48672471	496494	97	9533328	10931016	0	93387828	17	114	23383759709	0	20658878	4096	36	887
1678045527	25351777555	16790682	49729161	508121	99	9468815	10866496	0	93322580	17	115	24011213520	0	20963041	4096	37	903
1678045529	26052374197	17253882	50863878	520644	101	9275253	10672764	0	93127808	17	115	24692398747	0	21251042	4096	37	920
1678045531	26758653669	17720919	52040154	533655	103	9526145	10923648	0	93377972	17	115	25347267003	0	21535997	4096	37	936
1678045533	27448787251	18177256	53140437	545813	105	9753061	11150560	0	93605452	17	115	25980287161	0	21840722	4096	38	953
1678045535	28134610024	18630731	54287717	558411	107	9974821	11372320	0	93840596	17	115	26628771102	0	22163220	4096	38	970
1678045537	28856826714	19108295	55423435	570974	109	10224678	11621216	0	94075796	17	115	27301439915	0	22488232	4096	39	988
1678045539	29531393030	19554384	56577949	583696	111	10354941	11751476	0	94205108	17	115	27940316508	0	22754401	4096	39	1004
1678045541	30206844553	20001049	57587644	594791	113	10086437	11482972	0	93936504	17	115	28568607823	0	23040162	4096	40	1020
1678045543	30854915832	20429593	58623202	606170	115	9915374	11311896	0	93765236	17	115	29205380999	0	23344569	4096	40	1037
1678045545	31569124942	20901885	59767810	618787	117	9714098	11110616	0	93564088	17	114	29861812774	0	23645613	4096	40	1054
