Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678039371	0	0	0	0	1	51861	54848	0	2727316	1	64	7408888	0	0	0	6	1
1678039373	170337	272	49332	273	3	350634	501684	0	14677360	3	17	21532343	0	28777	4096	13	5
1678039375	981204	1373	257102	1191	5	362932	513852	0	14819984	3	15	22230514	0	137405	4096	13	8
1678039377	1844975	2467	467160	2085	7	369266	520108	0	14826224	3	17	23018176	0	241340	4096	13	10
1678039379	2566057	3278	624983	2688	9	368800	519604	0	14825500	3	15	23643706	0	335925	4096	13	13
1678039381	3380605	4259	821380	3459	11	367297	518060	0	14823696	3	16	24370924	0	439551	4096	13	15
1678039383	4174001	5142	1000285	4127	13	366697	517436	0	14822916	3	17	25126681	0	543251	4096	13	18
1678039385	4988567	5984	1175623	4730	15	369352	520084	0	14825476	3	17	25885092	0	651516	4096	14	21
1678039387	5776944	6836	1344216	5344	17	367942	518652	0	14824428	3	16	26580144	0	755161	4096	14	24
1678039389	6552307	7622	1513796	5909	19	368698	519392	0	14824940	3	17	27304909	0	859069	4096	14	26
1678039391	7355568	8402	1676569	6435	21	373958	524640	0	14830212	3	17	28061409	0	962721	4096	14	29
1678039393	8064042	9126	1827398	6945	23	373513	524188	0	14829544	3	17	28719907	0	1057037	4096	14	32
1678039395	8874597	9944	2001228	7532	25	368886	519544	0	14824680	3	16	29479789	0	1166041	4096	14	35
1678039397	9649868	10777	2176040	8164	27	369493	520144	0	14825704	3	16	30194495	0	1274143	4096	14	37
1678039399	10417910	11512	2341176	8658	29	369378	520020	0	14825192	3	16	30952444	0	1382637	4096	14	40
1678039401	11247432	12279	2502742	9155	31	373810	524440	0	14829544	3	16	31710003	0	1489312	4096	14	43
1678039403	12052317	13051	2672563	9676	33	370898	521528	0	14826472	3	16	32469022	0	1599612	4096	14	46
1678039405	12643661	13618	2792348	10055	35	374114	524744	0	14829768	3	16	33030672	0	1680160	4096	14	48
1678039407	13308499	14260	2935170	10500	37	369283	519908	0	14825100	3	16	33657162	0	1770089	4096	14	50
1678039409	14067709	14955	3084598	10939	39	369323	519948	0	14825100	3	17	34379619	0	1868981	4096	14	53
1678039411	14836863	15692	3255187	11456	41	369768	520388	0	14825356	3	17	35139800	0	1981830	4096	14	56
1678039413	15702986	16498	3427018	11989	43	374100	524720	0	14829708	3	17	35929868	0	2094874	4096	14	59
1678039415	16415747	17161	3568053	12410	45	371384	522004	0	14826892	3	17	36604963	0	2189026	4096	14	61
1678039417	17216681	17915	3738737	12926	47	376174	526792	0	14831756	3	17	37395305	0	2302087	4096	14	64
1678039419	17911414	18554	3883755	13345	49	370178	520796	0	14825612	3	17	38027648	0	2400790	4096	14	67
1678039421	18677013	19279	4036251	13824	51	369594	520212	0	14825100	3	16	38781802	0	2504468	4096	14	70
1678039423	19383866	19993	4187860	14327	53	374388	522036	0	14826892	3	17	39408172	0	2594043	4096	14	72
1678039425	20113018	20675	4336873	14785	55	374960	522608	0	14827548	3	16	40131775	0	2693476	4096	14	75
1678039427	20945907	21451	4501621	15287	57	375476	523124	0	14828060	3	16	40889082	0	2805925	4096	14	77
1678039429	21676604	22142	4660358	15760	59	378608	526256	0	14831132	3	17	41613674	0	2907804	4096	14	80
1678039431	22264111	22686	4773226	16102	61	378048	525696	0	14830760	3	17	42171317	0	2983300	4096	14	82
1678039433	23055813	23387	4928868	16534	63	375435	519684	0	14824360	3	17	42899272	0	3091674	4096	14	85
1678039435	23928230	24225	5104843	17099	65	378027	522276	0	14826920	3	17	43720370	0	3204695	4096	14	88
1678039437	24655007	24886	5254312	17522	67	377751	522000	0	14826920	3	17	44414672	0	3308023	4096	14	91
1678039439	25383339	25564	5404389	17979	69	381483	525732	0	14830504	3	16	45105880	0	3407003	4096	14	93
1678039441	25902828	26045	5509971	18295	71	379903	524152	0	14828712	3	17	45630999	0	3477719	4096	14	95
1678039443	26705515	26806	5674865	18808	73	383867	528116	0	14833064	3	17	46359126	0	3586299	4096	14	98
1678039445	27564525	27557	5839199	19271	75	381962	522660	0	14827176	3	16	47183302	0	3704377	4096	14	101
1678039447	28311636	28264	5995907	19739	77	383510	524208	0	14828712	3	16	47892289	0	3803736	4096	14	104
1678039449	29104081	28970	6152755	20184	79	382418	523116	0	14827944	3	17	48647933	0	3911484	4096	14	106
1678039451	29798210	29615	6294118	20603	81	386102	526800	0	14831528	3	17	49306810	0	4005837	4096	14	109
1678039453	30557920	30296	6449858	21048	83	383062	523760	0	14828456	3	16	50033655	0	4114193	4096	14	112
1678039455	31318154	30988	6605118	21494	85	386442	525296	0	14829736	3	17	50789770	0	4217861	4096	14	114
1678039457	31936924	31539	6723450	21840	87	387478	526332	0	14830760	3	16	51349840	0	4298036	4096	14	116
1678039459	32732110	32261	6889593	22319	89	386254	525108	0	14829736	3	17	52110153	0	4411382	4096	14	119
1678039461	33492148	32969	7038364	22767	91	387918	526772	0	14831272	3	17	52831756	0	4510341	4096	15	122
1678039463	34251805	33679	7196665	23229	93	384226	523080	0	14827432	3	16	53554085	0	4618834	4096	15	125
1678039465	34975948	34337	7343109	23640	95	384774	523628	0	14828200	3	16	54245616	0	4717764	4096	15	127
1678039467	35288710	34626	7411590	23832	97	386058	524912	0	14829480	3	16	54544903	0	4764740	4096	15	128
1678039469	35704677	35020	7488193	24078	99	385050	523904	0	14828456	3	16	54937215	0	4816375	4096	15	130
1678039471	36499338	35737	7652681	24549	101	384018	522872	0	14827432	3	16	55698661	0	4929158	4096	15	133
1678039473	37263083	36447	7803416	25012	103	386310	525164	0	14829736	3	17	56419236	0	5023216	4096	15	135
1678039475	38023017	37129	7959178	25441	105	387254	526108	0	14830760	3	16	57147081	0	5131670	4096	15	138
1678039477	38748150	37783	8108578	25851	107	384934	523788	0	14828200	3	17	57872406	0	5235096	4096	15	141
1678039479	39332473	38304	8219392	26175	109	386470	525324	0	14829736	3	16	58400920	0	5313213	4096	15	143
1678039481	39918671	38825	8335254	26502	111	387990	526844	0	14831272	3	17	58989392	0	5390261	4096	15	145
1678039483	40712423	39543	8470350	26947	113	390182	529036	0	14833576	3	16	59716193	0	5498460	4096	15	148
1678039485	41432291	40168	8528203	27272	115	385594	524448	0	14828940	3	16	60406400	0	5597166	4096	15	150
1678039487	42190380	40830	8593611	27638	117	386634	525488	0	14829964	3	16	61131508	0	5697411	4096	15	153
1678039489	42948412	41495	8659614	28005	119	387170	526024	0	14830476	3	17	61855606	0	5804747	4096	15	156
1678039491	43772485	42190	8728282	28385	121	390739	529588	0	14834316	3	16	62678406	0	5921031	4096	15	158
1678039493	44594630	42886	8795444	28761	123	386675	525524	0	14829964	3	16	63435492	0	6030980	4096	15	161
1678039495	45353277	43541	8859165	29106	125	386419	525268	0	14829708	3	17	64161156	0	6134483	4096	15	164
1678039497	46068208	44155	8918945	29436	127	385919	524768	0	14829196	3	15	64849812	0	6238045	4096	15	167
1678039499	46894149	44853	8988695	29811	129	387727	526576	0	14831244	3	17	65638899	0	6346249	4096	15	169
1678039501	47513027	45377	9040789	30094	131	388407	527256	0	14831756	3	16	66263778	0	6435508	4096	15	172
1678039503	48300318	46034	9102745	30437	133	387215	526064	0	14830732	3	17	67018557	0	6538979	4096	15	175
1678039505	49127396	46752	9171773	30825	135	390583	526484	0	14830988	3	17	67810037	0	6651825	4096	15	177
1678039507	49916944	47435	9237597	31195	137	391147	527048	0	14831500	3	15	68536597	0	6758387	4096	15	180
1678039509	50739077	48119	9304645	31559	139	386839	522740	0	14827148	3	16	69324318	0	6868527	4096	15	183
1678039511	51417900	48690	9362351	31874	141	389143	525044	0	14829452	3	15	69979262	0	6971886	4096	15	186
1678039513	52238914	49365	9427741	32239	143	389907	525808	0	14830220	3	15	70769176	0	7078782	4096	15	189
1678039515	52995987	50005	9492527	32577	145	393311	525844	0	14830476	3	17	71524516	0	7188235	4096	15	191
1678039517	53683454	50595	9550524	32904	147	391767	524300	0	14828684	3	16	72183747	0	7282528	4096	15	194
1678039519	54507446	51296	9618802	33291	149	393079	525612	0	14829964	3	16	72940886	0	7386365	4096	15	197
1678039521	55335502	52025	9690478	33698	151	397871	530404	0	14834828	3	17	73728215	0	7498636	4096	15	199
1678039523	56096031	52695	9756242	34069	153	391611	524144	0	14828684	3	17	74452540	0	7602051	4096	15	202
1678039525	56884003	53357	9820680	34420	155	396927	525920	0	14830220	3	17	75209264	0	7710586	4096	15	205
