ncores,wallclock_time_s,read_rate_MB_s,read_rate_MiB_s,total_read_data_GB,total_read_data_GiB
02,5805,33.53129696003445,31.977936706575825,194.649178853,181.28117439616472
04,3197,60.88470200781983,58.064176566905815,194.648392319,181.2804418792948
08,2117,91.93467071374586,87.67573424696528,194.625697901,181.25930605549365
16,1391,139.93972274478793,133.45691942671579,194.656154338,181.2876708228141
32,1367,142.43734780614483,135.83884029974445,194.711854451,181.33954559545964
64,1389,140.52147121310296,134.0117179995565,195.184323515,181.77956670057029
